collection,collected.by,archived.since,description,subject,creator,publisher,type,date,collector,language,extra
 Tufts response to COVID-19 , Tufts University ,2020-03,"
A collection of websites regarding Tufts University's response to the COVID-19 pandemic in 2020. Websites include official University communications, news items reporting on Tufts' response, student-published articles, and social media posts.",,NA,NA,NA,NA,NA,NA,NA
 National Covid Science Taskforce , ETH Zürich ,2022-05,"
The Swiss National COVID-19 Science Task Force advises the public authorities in the current COVID-19 crisis. While the Task Force does not make decisions about measures or actions taken, the volunteer group of experts represents relevant scientific fields and ensures that impartial scientific advice is given.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , Queen's University ,2020-04,"
This collection contains the response of local public health, cities, and municipalities in the Kingston / Frontenac area to the Coronavirus pandemic of 2020. Also includes news stories related to the pandemic response in the Kingston area. For the most part, this collection crawls the main pages and only those pages with keywords that include corona, covid, and pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Missouri State University - COVID-19 , Missouri State University ,2022-01,"
Pages from the Missouri State University's website with information about the COVID-19 pandemic, for both the main campus in Springfield, Missouri, and the campus at West Plains, Missouri. This archive is maintained by Special Collections & Archives, part of the Missouri State University Libraries.",,NA,NA,NA,NA,NA,NA,NA
 Bay Area Government COVID-19 Collection ," Stanford University, Social Sciences Resource Group ",2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Impacts on the DTES , University of British Columbia ,2020-04,"
A collection of of local news articles, government support options, and social policy websites documenting the impact of the COVID-19 pandemic on Vancouver's Downtown Eastside (DTES). Includes information regarding how COVID-19 has impacted drug and overdose prevention as well as homelessness.",,NA,NA,NA,NA,NA,NA,NA
" Pennsylvania State University, COVID-19 Response web archive ", Pennsylvania State University ,2020-03,"
Web content documenting Pennsylvania, State College and Penn State University's response to the COVID-19 pandemic",,NA,NA,NA,NA,NA,NA,NA
 Bereans and COVID-19: online articles , Berea College ,2021-08,"
Articles from various sources regarding Berea College and the Covid-19 pandemic",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , Kalamazoo College ,2021-09,"
This collection includes webpages documenting Kalamazoo College's response to the COVID-19 pandemic. Webpages from the Health Center, Human Resources, Financial Aid, Residential Life, Dining Services, News Releases, and more were captured.",,NA,NA,NA,NA,NA,NA,NA
 FIT's Response to Covid-19 Pandemic , Fashion Institute of Technology (FIT)  ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 (Coronavirus) in Papua New Guinea , National Library of Australia ,2020-04,"
This collection documents the ways that the Papua New Guinea Government and public responded to the COVID-19 in PNG. The archive consists of 14 selected Web sites from March 2020 to June 2020 and is intended to preserve the internet reaction from PNG government sites, press, individual blogs, and groups sites.",,NA,NA,NA,NA,NA,NA,NA
 Stanford University COVID-19 Response , Stanford University Archives ,2020-03,"
This collection includes web content documenting Stanford University's response to the pandemic of coronavirus disease 2019 (COVID-19). Additional content may be found the in the Stanford Daily collection, Stanford University Website Collection, and Stanford University Student Website Collection.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Experience Project Web Archive , Pennsylvania State University ,2020-05,"
Blogs and websites documenting Penn State University community members’ experiences throughout the COVID-19 pandemic. This web archiving effort is part of a larger COVID-19 Experience Project collection acquired throughout 2020, which includes physical and other digital materials.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Web Collection , Concordia University ,2020-03,"
This collection was created in order to collect news about the SARS-CoV virus, commonly known as COVID-19, related to Concordia University and its community. It contains publicly available news on the Concordia website, social media posts done by students associations, faculty and researchers and articles of students newspapers related to the outbreak.",,NA,NA,NA,NA,NA,NA,NA
 False Coronavirus (COVID-19) Information , Mark Graham ,2020-03,"
An archive of Web Sites sourced from: https://www.newsguardtech.com/coronavirus-misinformation-tracking-center/",,NA,NA,NA,NA,NA,NA,NA
 Coronavirus (COVID-19) , Federal Depository Library Program Web Archive ,2020-03,"
The URL for this resource changed from https://www.coronavirus.gov/ to https://www.covid.gov/ and the Title of the page changed from Coronavirus (COVID-19) to COVID.gov. The first date of capture for the new URL occurred on April 4, 2022. New location for access is https://archive-it.org/collections/19129.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 - Bucknell University , Bucknell University ,2020-05,"
This web collection is focused on bucknell.edu domain and university-affiliated websites that are a response to the coronavirus (COVID-19).",,NA,NA,NA,NA,NA,NA,NA
 Coronavirus (Covid-19) Student Experience Collection: Rito Tanaka's Blog , Williams College ,2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 International Educational Exchange and COVID-19 Web Archive , University of Arkansas Libraries ,2020-04,"
This collection consists of public websites with content reflecting the impact of the COVID-19 pandemic on international education and study abroad programs.",,NA,NA,NA,NA,NA,NA,NA
 University of Tennessee at Chattanooga COVID-19 Web archives , University of Tennessee at Chattanooga ,2022-12,"
This collection includes preserved web pages documenting The University of Tennessee at Chattanooga's response to the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 in Nova Scotia , Dalhousie University Libraries ,2020-03,"
The COVID-19 in Nova Scotia web archive features websites for and about Nova Scotians as the province deals with the global COVID-19 pandemic. The collection includes a representative selection of websites that document the response from the provincial government and local governments, as well as community groups, news outlets, businesses, and private citizens.",,NA,NA,NA,NA,NA,NA,NA
 Thomas Jefferson University - COVID-19 , Thomas Jefferson University ,2020-04,"
This collection represents a sample of Jefferson's COVID-19 web content. It is focused largely on material not captured by our permanent web collections. For more COVID-19 web content, please see the Thomas Jefferson University - Social Media, Thomas Jefferson University - Affiliations, and Thomas Jefferson University collections.",,NA,NA,NA,NA,NA,NA,NA
 UNCG COVID-19 , University of North Carolina Greensboro ,2020-03,"
The University of North Carolina at Greensboro COVID-19 Collection documents web content created by the University community in response to the 2020 COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 in Niagara , Brock University ,2020-03,"
A weekly crawl of websites of major institutions, governments and organizations in the Niagara area focusing on the varied responses to the COVID-19 pandemic in 2020 and 2021. Further,  one-time crawls of newspaper articles focused on Niagara centric COVID-19 news were collected and exist in a private collection.  Contact archives@brocku.ca for more information about these articles..",,NA,NA,NA,NA,NA,NA,NA
 Pennsylvania Horticultural Society COVID-19 Collection , PACSCL ,2020-05,"McLean Library has created a web-archive collection focusing on the Pennsylvania Horticultural Society’s programmatic COVID-19 response via #GrowTogetherPHS, a campaign to engage our audiences in gardening at home. In addition, the collection includes Philadelphia-area community gardening responses through social media sites as well as web-based documentation of recommendations for urban agriculture during COVID-19. For a complete web collection of PHS COVID-19 archived sites, please see: https://conifer.rhizome.org/PHSPFS2019/pennsylvania-horticultural-society-covid-19-collection",,NA,NA,NA,NA,NA,NA,NA
" COVID-19 in Grand Rapids, Mich. ", Grand Rapids Public Library ,2020-03,"
A web archive documenting the response to COVID-19 in Grand Rapids, Michigan, including the experiences of people, organizations and businesses.",,NA,NA,NA,NA,NA,NA,NA
" Athens, Georgia Area COVID-19 Response ", Athens Regional Library System ,2020-03,"
A diverse web archival collection showcasing the local response to the coronavirus (COVID-19) pandemic in Athens, Georgia. Included are communications from Athens-Clarke County government, communications from Clarke County School District, fundraisers for local businesses, 'Band Together' showcases, and various other items that are related to the local response.",,NA,NA,NA,NA,NA,NA,NA
" Crucial Policies for Combating COVID-19 (Ministry of Health and Welfare,Taiwan) "," Institute of Information Science, Academia Sinica ",2022-03,NA,,NA,NA,NA,NA,NA,NA,NA
 UCM COVID-19 Archive , University of California Merced ,2020-07,"
The UC Merced COVID-19 Response Collection chronicles the actions taken by the University in response to the COVID-19 pandemic. This Collection aims to document and preserve those materials that document UC Merced's collective decision making to the pandemic in order to maintain and continue the University's academic, research, and public service missions.",,NA,NA,NA,NA,NA,NA,NA
 State of Illinois COVID-19 Response , The Board Trustees of the University of Illinois Urbana-Champaign ,2021-06,"
The State of Illinois COVID-19 Response collection consists of captured webpages regarding the COVID-19 response by the State of Illinois, particularly state and community guidelines on the Illinois stay-at-home order, quarantine, and re-opening , from government entities and news outlets. Government documents captured include webpages and sub-domains specifically dedicated to providing information on the latest COVID-19 guidelines, resources, and metrics. Non-government documents captured include webpages providing re-opening guidelines and information from Illinois professional associations, resources for the public from non-profit organizations, and news articles discussing COVID cases, vaccination incentives, and re-opening the state.",,NA,NA,NA,NA,NA,NA,NA
 CA.gov Novel Coronavirus (COVID-19) Collection , California State Library ,2020-03,"
This is a collection of websites documenting the State of California response to the Novel Coronavirus Pandemic that began in 2020.",,NA,NA,NA,NA,NA,NA,NA
 Coronavirus (Covid-19) Student Experience Collection: Novera Momo's Ephlife2 Blog , Williams College ,2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Novel Coronavirus (COVID-19) , International Internet Preservation Consortium ,2020-02,"
A collection created by the Content Development Group of the International Internet Preservation Consortium in collaboration with Archive-It to preserve web content related to the Novel Coronavirus (Covid-19) outbreak and ensuing pandemic. Identification of seed websites and web crawling began in February 2020, and the collection continued to add new seeds and recapture a core set of existing seeds until May 2023, when the World Health Organization downgraded Covid-19 from a PHEIC (Public health emergency of international concern) to a established and ongoing health issue. High priority subtopics included: coronavirus origins; information about the spread of infection; national, regional or local containment efforts, including vaccine development and implementation of vaccinations; medical and scientific aspects; social aspects; economic aspects; and political aspects. Websites from anywhere in the world and in any language were in scope.",,NA,NA,NA,NA,NA,NA,NA
 University of Chicago. COVID-19. Websites ," University of Chicago Library, Special Collections Research Center ",2020-03,"
Web content created by the University of Chicago during the COVID-19 pandemic. The websites provide health information, campus announcements, and resources for remote learning and working during the terms affected by the pandemic.",,NA,NA,NA,NA,NA,NA,NA
" COVID-19 West Hartford, CT ", West Hartford Public Library ,2020-04,"
This collection consists of the Town of West Hartford's response to the Coronavirus (COVID 19) outbreak and includes local government, library and online news resources.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Pandemic in British Columbia , University of British Columbia ,2020-03,"
Web archive documenting the COVID-19 pandemic in British Columbia. Collection includes the BC provincial government websites with updates from the Provincial Health Officer Dr. Henry and Health Minister Adrian Dix. Websites include the City of Vancouver, news media, health authorities and professional organizations.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , Toronto Metropolitan University ,2020-08,"
This collection contains web pages about the COVID-19 pandemic related to the TMU community. It contains publicly available news on the TMU website, social media channels and external sites by students associations, faculty and researchers and articles of students newspapers related to the pandemic.",,NA,NA,NA,NA,NA,NA,NA
 ETH Zürich COVID-19 Coronavirus Collection , ETH Zürich ,2022-07,"
Sammlung von Webinhalten der ETH Zürich und der ETH-Bibliothek im Zusammenhang mit der institutionellen Reaktion auf den Ausbruch des Coronavirus (Covid-19) und die nachfolgende Pandemie. Die einzelnen Websites wurden nach Möglichkeit mehrfach aufgenommen. Collection of ETH Zurich and ETH Library web content related to the institutional response to the coronavirus (Covid-19) outbreak and subsequent pandemic. Individual websites have been included multiple times where possible.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 (Coronavirus) in  Bougainville , National Library of Australia ,2020-04,"
The Autonomous Region of Bougainville has voted unequivocally for independence in late November 2019, and it may be a new country in the Pacific a few years later. The referendum has a number of implications, especially the geopolitical implications among Australia, New Zealand, the US, as well as China.  Therefore, the Bougainville was given emphasis and selected as a part of COVID-19 (Coronavirus): archived websites from China, Indonesia, Thailand, and other Pacific countries.  The collection is to document the responses to COVID-19 from different angles, such as its government, the public, and related countries who has geopolitical benefits with.",,NA,NA,NA,NA,NA,NA,NA
 Carolina COVID-19 Archive , University of North Carolina at Chapel Hill Libraries ,2020-04,"
A selection of websites documenting the impact of the COVID-19 pandemic at the University of North Carolina at Chapel Hill.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Pandemic in Oklahoma City , Metropolitan Library System (Oklahoma) ,2020-04,"
This collection provides access to local government websites and news reports documenting Oklahoma City's response to the COVID-19 pandemic. Documented to a lessor extent is the state's response.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Response: Conservative Synagogues , Jewish Theological Seminary  ,2020-10,"
This series is a collection of websites, captured beginning in mid-October 2020, that documents how synagogues affiliated with the United Synagogue of Conservative Judaism (USCJ) have adapted to the COVID-19 pandemic. These changes include safety guidelines, physical closure and reopening updates and policies, guides for observing the high holidays and daily minyan, videoconferencing and livestream services, and virtual programming. Some examples of websites that are particularly rich in these resources are Kol Rinah (St. Louis, MO); Congregation Beth Emeth (Herndon, VA); and B'nai Torah Congregation (Boca Raton, FL).",,NA,NA,NA,NA,NA,NA,NA
 Wisconsin COVID-19 Journal Project , Wisconsin Historical Society ,2020-05,"
A curated collection of online blogs and diaries concerning life in Wisconsin during the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Response web archives , University of Minnesota ,2020-03,"
Selected websites that preserve the response and effect of COVID-19 on the University of Minnesota. Responses include information on program and department updates, student and employee information, event cancellations, and coping resources. Other responses provide information on academic planning, alternative instruction methods and research. A blog and social media site from a University coalition on COVID-19 and a shared resource for talents and expertise are also preserved. Captures of these websites are ongoing.",,NA,NA,NA,NA,NA,NA,NA
 Wisconsin Response to COVID-19 , Wisconsin Historical Society ,2020-03,"
Websites relating to the Wisconsin response to the 2019 Novel Coronavirus (COVID-19). See also the Wisconsin State Government web archives for related captures and the Wisconsin County Government and Wisconsin Municipal Government web archives for other captures of the local government response to the coronavirus pandemic. The Wisconsin Digital Archives includes a COVID-19 in Wisconsin collection (https://www.wistatedocuments.org/digital/search/searchterm/covid-19/field/subjec/mode/all/conn/and) that contains Wisconsin summary and county data concerning the number of cases and related data concerning the pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Mount Sinai Health System and COVID-19 , Icahn School of Medicine at Mount Sinai ,2022-09,"
This collection includes websites related to the Mount Sinai Health System's response to the COVID-19 pandemic. With much of MSHS's communications going online in March 2020, websites related to this effort are crucial for understanding the health system's pandemic response. The collection also includes information about the first-hand experience of two front-line workers, Ben Laitman and Jocelyn Cerrudo Sese, as well as a large number of well wishes recorded for front-line workers.",,NA,NA,NA,NA,NA,NA,NA
 City of Philadelphia Government COVID-19 Collection , PACSCL ,2020-05,"
The Free Library of Philadelphia has developed a web-archive collection to cover the City of Philadelphia’s responses to COVID-19. The collection covers all city departments and agencies, including department and agency COVID-19 publications, forms, and press releases. The collection also comprises the offices, programs, and services that have since been developed to aid the City of Philadelphia during the pandemic, resources that will continue to support the city during its recovery.",,NA,NA,NA,NA,NA,NA,NA
 Regional News and Events , East Carolina University ,2019-10,"
A collection of news stories about important regional news an events including the COVID-19 pandemic, civil rights protests, and natural disasters.",,NA,NA,NA,NA,NA,NA,NA
 Los Angeles - COVID-19 , UCLA ,2020-03,"
Contains archived websites focusing on the spread and containment of the coronavirus disease (COVID-19). It tracks a variety of sites for information posted for residents of Los Angeles about coronavirus. The sites include local government websites, organizations that interact with the public, and a variety of sites that people frequent for information. These do not include social media platforms like Twitter or Instagram.",,NA,NA,NA,NA,NA,NA,NA
 test , Civic Organizations and Bay Area Communities during COVID-19 (CIFAR Project) ,2021-06,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID – 19: Trinidad and Tobago‘s National and Community Response , National Library and Information System Authority (NALIS) ,2021-10,"
The collection captures the national response to COVID - 19 in Trinidad and Tobago from the reporting of the first confirmed case on March 12, 2020 to present. The collection includes the response and efforts of the Government, Private Sector, Non-Governmental Organizations and everyday citizens who sought to safeguard the lives of the people of Trinidad and Tobago during this challenging period. This web archive aims to assist future historians and researchers to understand the social and economic challenges experienced during this period whilst also highlighting the resilience of the people of Trinidad and Tobago.",,NA,NA,NA,NA,NA,NA,NA
 Housing Insecurities in RI during COVID-19 , Brown University ,2020-07,"
This collection was collected by Hilary Rasch, John Hay Special Collections Web Collecting Proctor, during the Summer of 2020. The collection focus is on housing insecurities and tenant rights in Rhode Island during the time of COVID-19 from March to August 2020.",,NA,NA,NA,NA,NA,NA,NA
 University of Florida Covid 19 web archives , University of Florida ,2021-03,"
Official University of Florida websites monitoring the Covid-19 Pandemic.",,NA,NA,NA,NA,NA,NA,NA
 University of Delaware COVID-19 Response ," University of Delaware, Archives & Records Management ",2022-01,"
This collection documents the University of Delaware's response to the pandemic of Covid-19 as represented by public service annoucments, data representations, and community resource oppurtinities as they appeared on the UD website.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , Schomburg Center for Research in Black Culture ,2020-04,"
This collection centers and documents the African diasporan experiences of COVID-19 including racial disparities in health outcomes and access, the impact on Black-owned businesses, and cultural production. The collection also seeks to document the community impact on New York City through state and local news, and government responses to COVID-19.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 in Central Indiana , Indiana University Purdue University Indianapolis (IUPUI) ,2020-06,"
A collection of websites documenting the COVID-19 pandemic in Central Indiana, spanning from August 2020 to September 2021, with particular focus on webpages of local government, school systems, churches, and local public events. The creation of this collection was funded by an Indianapolis Foundation Library Fund grant from the Central Indiana Community Foundation. Data was partially funded by the Archive-It COVID-19 Web Archiving Special Campaign.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 and K-12 Education in BC , University of British Columbia ,2020-09,"
A collection of school district websites, health authorities, and government news statements or policy surrounding the COVID-19 pandemic and K-12 education in British Columbia. Includes updates from the majority of school districts in BC and their response and updates to the children and their families.",,NA,NA,NA,NA,NA,NA,NA
 Dr. Craig Smith Covid-19 update emails website , Williams College ,2020-04,"
Covid-19 email updates from Dr. Craig SMith, head of surgery Columbia Medical Center and Williams alum.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 (Coronavirus) in Indonesia , National Library of Australia ,2020-05,"
Collection of websites related to COVID-19 (Novel Coronavirus) Indonesia. Content includes data and information from selected government, university, and civil society organization websites.",,NA,NA,NA,NA,NA,NA,NA
 Dane - Rock TU ," University of Wisconsin, Eau Claire - History Department ",2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 Western and London COVID-19 ," Western Libraries, Western University ",2020-03,"
Web content documenting Western University and the City of London's response to the COVID-19 pandemic from March 2020 to March 2023. Western University COVID-19 content will be continued to be captured under the University Publication Collection and the Western University Collection. This Collection was captured using Archive IT’s Brozzler crawling technology. Brozzler captures photographs and image files that are 1100 x 900 pixels or larger. If images are not appearing while replaying websites or accessing archived web content, please try zooming in or out of the screen. If the images won’t replay at all, please contact Archives and Special Collections. Data limits set on scheduled captures for this Collection include data limits for video content. As a result, not all video content is captured from this Collection.",,NA,NA,NA,NA,NA,NA,NA
 David J. Sencer CDC Museum COVID-19 Collection Web Archive , David J. Sencer CDC Museum ,2021-02,"
The David J. Sencer CDC Museum COVID-19 Web Collection is an online archive focused on the experiences of people across the U.S. from coast to coast during the coronavirus pandemic. The collection places emphasis on the experiences of Black people, Indigenous people, and other people of color. We track the pandemic from the beginning of a national shutdown in hopes of containing the spread of the virus in March 2020 to the ongoing distribution of COVID-19 vaccines in 2021. It also addresses special topics such as the impact of covid on arts and culture, sports leagues, the Olympic Games, and how the world plans to memorialize those we have lost to the virus. The collection finally explores the disproportionately negative impact of COVID-19 on BIPOC individuals from death rates to unequal access to COVID-19 vaccinations. The archive will be updated regularly with additional content.",,NA,NA,NA,NA,NA,NA,NA
 Irina Rogova_VCC Covid-19 Response Mutual Aid Network Archive , iSchool at the University of Wisconsin-Madison ,2020-10,"
As part of the effort to capture the community response to the Covid-19 pandemic beginning in March 2020, this collection will include efforts within Richmond City, along with Henrico and Chesterfield counties.",,NA,NA,NA,NA,NA,NA,NA
 NYU Coronavirus (COVID-19) , New York University ,2020-03,"
This collection contains websites regarding New York University's response to the COVID-19 pandemic, starting in March 2020. It includes webpages from the University's campuses worldwide that represent advocacy, information, policies, protest, research, and scholarship created by individuals and communities within NYU, including administrators, faculty, students, staff, alumni, and prospective students at the New York campus, study away sites, and the campuses in Shanghai and Abu Dhabi.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 and Rhode Island , Brown University ,2020-03,"
The scope of this collection is institutional and organizational responses to the COVID-19 crisis within Rhode Island. The crawls include sites from Brown University, Higher Education, Government and Non-Profits.",,NA,NA,NA,NA,NA,NA,NA
 UW COVID-19 , University of Wyoming ,2020-03,"
This collection contains archived versions of the University of Wyoming's official page for COVID-19 communication for students, faculty, and staff.",,NA,NA,NA,NA,NA,NA,NA
 Collective Architecture and Design Response to Covid-19 , Ivy Plus Libraries Confederation ,2020-08,"
Save The Collective Architecture and Design Response to Covid-19 Web Archive is an initiative developed by librarians at Harvard and Yale Universities, and the University of Pennsylvania, under the auspices of the Ivy Plus Libraries Confederation. Curated by Ann Whiteside (Harvard), Sara Rogers (Harvard), Patricia Guardiola (Penn), Kathy Winsor Bohlman (Yale), and Jessica Quagliaroli (Yale), the Archive documents how the architecture and design communities have responded to the Covid-19 pandemic. For the purposes of the collection, the design and architecture communities can be defined as practitioners and organizations who play a role in shaping public space and the built environment, including: architects, landscape architects, urban planners, and artists. Materials included will come from a wide variety of sites, such as national organization websites, professional and personal blogs, interviews, design firms, and cultural heritage institutions.",,NA,NA,NA,NA,NA,NA,NA
 Covid 19 Florida Farmworkers web archives , University of Florida ,2021-03,"
Project (funded by CAME) to document snapshots of digital content documenting the impact that the COVID 19 Pandemic had on farmworkers in Florida. Including capturing the voices, experiences, and opinions of people who are frequently marginalized and underrepresented such as that of the Mexican, Central American, and Haitian farmworkers who live and work in Florida. For other non-web based content from the collection see the finding aid here.",,NA,NA,NA,NA,NA,NA,NA
 CIFAR Legal Orgs , Civic Organizations and Bay Area Communities during COVID-19 (CIFAR Project) ,2021-02,NA,,NA,NA,NA,NA,NA,NA,NA
" COVID-19 era in Jersey City, Hudson County, and New Jersey ", Jersey City Free Public Library ,2020-03,"
Local news sources and select statewide news sources related to Covid-19 and its impact on Jersey City and Hudson County, along with community web discussion forums and lifestyle/arts/culture sources. Collecting started in March of 2020 and closed April 15, 2024.",,NA,NA,NA,NA,NA,NA,NA
 Dartmouth College COVID-19 Collection , Dartmouth College  ,2020-06,"
A collection of websites documenting the COVID-19 pandemic as experienced by the Dartmouth College community. Includes content created by College offices and officers as well as content created by students, with an emphasis on social media.",,NA,NA,NA,NA,NA,NA,NA
 Bates Nursing History COVID-19 , PACSCL ,2020-05,NA,,NA,NA,NA,NA,NA,NA,NA
 Global Social Responses to Covid-19 , Ivy Plus Libraries Confederation ,2020-04,"
The Global Social Responses to Covid-19 Web Archive is an initiative developed by librarians throughout the Ivy Plus Libraries Confederation in partnership with librarians at Bayerische Staatsbibliothek, the Library of Congress, the New York Public Library, Staatsbibliothek zu Berlin, the University of California-Berkeley, the University of Hawaii, the University of Michigan, the University of Toronto, and the University of Virginia. Created in March 2020, at the onset of the pandemic, the Archive documents regional, social responses to the pandemic, which are critical in understanding the scope of the pandemic’s humanitarian, socioeconomic, and cultural impact. With an emphasis on websites produced by underrepresented ethnicities and stateless groups, the Archive covers (but is not limited to): sites published by non-governmental organizations that focus on public health, humanitarian relief, and education; sites published by established and amateur artists in any realm of cultural production; sites published by local news sources; sites published by civil society across and representatives; and relevant blogs and social media pages. For more information about the Global Social Responses to Covid-19 Web Archive, see: https://libguides.princeton.edu/covid-ivy.",,NA,NA,NA,NA,NA,NA,NA
" COVID-19 response in Douglas County, Kansas (2020) ", University of Kansas ,2020-03,"
This archive documents the response to, narrative of, and events surrounding the COVID-19 pandemic in Douglas County and at the University of Kansas. This includes the efforts of the University, county and cities governments, businesses, and the community at large. Some of the sources included in this archive are official university websites, county and city government pages, and news stories. This archive attempts to track and gather the digital response of the county, University, and their communities to the COVID-19 pandemic and the events and changes that followed. As this is still on ongoing situation, more websites are added as new information and procedures emerge",,NA,NA,NA,NA,NA,NA,NA
 College of Physicians of Philadelphia COVID-19 collection , PACSCL ,2020-05,"A collection of websites, crawled by the Internet Archive, focusing on resources created by The College of Physicians of Philadelphia related to the COVID-19 pandemic, including the College's ""Documenting #COVIDPHL at The College of Physicians of Philadelphia"" digital exhibit.",,NA,NA,NA,NA,NA,NA,NA
 Bay Area Civic Orgs , Civic Organizations and Bay Area Communities during COVID-19 (CIFAR Project) ,2021-02,NA,,NA,NA,NA,NA,NA,NA,NA
 CIFAR Health Care Orgs , Civic Organizations and Bay Area Communities during COVID-19 (CIFAR Project) ,2021-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Global Civil Society Organization Responses to COVID-19 , The Board Trustees of the University of Illinois Urbana-Champaign ,2020-04,"
This collection represents a cross-section of responses to the Novel Coronavirus (COVID-19) epidemic from non-governmental organizations from around the world across the political spectrum. Organizations were selected from the Center for Global Studies' Custom Search Engine, which has been collecting URLs from NGOs for the past 10 years. These organizations include trade groups, think-tanks, academic associations, aid organizations, and advocacy groups. Each was selected for this web archive because of a substantial reaction to the COVID-19 outbreak. Sites with sub-sites dedicated to COVID-19 or a significant collection of resources were selected. The global nature of the pandemic is clear. This archive provides documentation of how organizations responded and adjusted positions to accommodate, understand, and gain control over a rapidly changing political, economic, and security landscape.",,NA,NA,NA,NA,NA,NA,NA
 Pennsylvania Horticultural Society COVID-19 Collection , Pennsylvania Horticultural Society ,2020-05,"McLean Library has created a web-archive collection using webrecorder.io focusing on the PHS programmatic response via #GrowTogetherPHS, a campaign to engage our audiences in gardening at home. In addition, we are harvesting Philadelphia-area community gardening social media responses as well as web-based recommendations for urban agriculture during COVID-19. This would also be our Archive-It contribution.",,NA,NA,NA,NA,NA,NA,NA
 Wagner Free Institute of Science COVID-19 Collection , PACSCL ,2020-05,"
The Wagner Free Institute of Science has created a web-archive collection focusing on the Institute's responses, mainly programmatic, to the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 UCSF COVID-19 Response ," University of California, San Francisco (UCSF) ",2022-11,"
This collection documents the University of California, San Francisco's (UCSF) response to the COVID-19 pandemic as it developed across the city and county of San Francisco and the rest of California. UCSF research in both virology and public health were critical to understanding certain elements of the pandemic in it's early days, and several UCSF researchers would end up being prominent public faces of the science on various aspects of the pandemic. Crucially, this collection documents both internal UCSF procedures and response, as well as external news sources covering the work UCSF did responding to the pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Collection , University of Victoria ,2020-04,"
The COVID-19 Web-Archiving Collection is a cooperative initiative between University of Victoria Libraries and the Vancouver Island University Library. The purpose of the collection is to capture web sources documenting how local governments, institutes, schools, non-profit organizations, businesses and communities in the southern region of Vancouver Island have responded to the COVID-19 pandemic and how local social life has been impacted during the pandemic.     This collection also includes sources documenting the increased incidents of racial discrimination and violence in British Columbia against marginalized populations such as Asian Canadian and First Nations communities that have occurred during the pandemic.   For communities in the north and central regions of Vancouver Island see Vancouver Island University Library’s COVID-19: Vancouver Island, BC (Central & North) collection.",,NA,NA,NA,NA,NA,NA,NA
 Teaching During the COVID-19 Pandemic ," San Jose State University, School of Information ",2021-09,"
This collection contains articles, blogs, and websites that showcase the teacher experience during the COVID 19 pandemic.  These webpages offer tips for remote learning, how to engage your students remotely, and general reflections on how education has changed by the pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Chatham University COVID-19 Response Collection , Chatham University Archives ,2020-03,"
This collection of web-based records documents Chatham University's response to the COVID-19 pandemic.  It includes documents created by the university as well as online news articles and social media posts about the university's response to the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVIDtests.gov , Federal Depository Library Program Web Archive ,2022-01,"
The URL for this resource changed from https://www.covidtests.gov to https://www.covid.gov/ and the Title of the page changed from COVIDtests.gov to COVID.gov. The first date of capture for the new URL occurred on April 4, 2022. New location for access is https://archive-it.org/collections/19129.",,NA,NA,NA,NA,NA,NA,NA
